coicop_2018,coicop_1999
CP01111,CP011
CP01112,CP011
CP01113,CP011
CP01114,CP011
CP01115,CP011
CP01119,CP011
CP01121,CP011
CP01121,CP011
CP01122,CP011
CP01122,CP011
CP01123,CP011
CP01124,CP011
CP01125,CP011
CP01131,CP011
CP01132,CP011
CP01133,CP011
CP01134,CP011
CP01135,CP011
CP01136,CP011
CP01137,CP011
CP01141,CP011
CP01142,CP011
CP01143,CP011
CP01144,CP011
CP01145,CP011
CP01146,CP011
CP01147,CP011
CP01148,CP011
CP01149,CP011
CP01151,CP011
CP01152,CP011
CP01153,CP011
CP01159,CP011
CP01161,CP011
CP01162,CP011
CP01163,CP011
CP01164,CP011
CP01165,CP011
CP01166,CP011
CP01167,CP011
CP01168,CP011
CP01169,CP011
CP01171,CP011
CP01172,CP011
CP01173,CP011
CP01174,CP011
CP01175,CP011
CP01176,CP011
CP01177,CP011
CP01178,CP011
CP01179,CP011
CP01179,CP011
CP01181,CP011
CP01182,CP011
CP01183,CP011
CP01184,CP011
CP01185,CP011
CP01186,CP011
CP01189,CP011
CP01191,CP011
CP01191,CP011
CP01191,CP011
CP01191,CP011
CP01191,CP011
CP01192,CP011
CP01193,CP011
CP01194,CP011
CP01194,CP011
CP01199,CP011
CP01290,CP011
CP01300,CP011
CP01300,CP011
CP01300,CP011
CP01185,CP012
CP01210,CP012
CP01220,CP012
CP01230,CP012
CP01240,CP012
CP01250,CP012
CP01260,CP012
CP01290,CP012
CP01300,CP012
CP02110,CP021
CP02121,CP021
CP02122,CP021
CP02130,CP021
CP02190,CP021
CP02190,CP021
CP02190,CP021
CP02200,CP021
CP02200,CP021
CP02200,CP021
CP02301,CP022
CP02302,CP022
CP02309,CP022
CP11111,CP022
CP11112,CP022
CP02400,CP023
CP03110,CP031
CP03121,CP031
CP03122,CP031
CP03123,CP031
CP03124,CP031
CP03131,CP031
CP03132,CP031
CP03141,CP031
CP03142,CP031
CP03213,CP031
CP05619,CP031
CP07213,CP031
CP03211,CP032
CP03212,CP032
CP03213,CP032
CP03220,CP032
CP04110,CP041
CP04121,CP041
CP04122,CP041
CP04210,CP042
CP04220,CP042
CP04311,CP043
CP04320,CP043
CP04320,CP044
CP04411,CP044
CP04412,CP044
CP04420,CP044
CP04431,CP044
CP04432,CP044
CP04441,CP044
CP04449,CP044
CP04510,CP045
CP04521,CP045
CP04522,CP045
CP04530,CP045
CP04541,CP045
CP04542,CP045
CP04543,CP045
CP04549,CP045
CP04550,CP045
CP04311,CP051
CP04320,CP051
CP04320,CP051
CP05111,CP051
CP05112,CP051
CP05113,CP051
CP05114,CP051
CP05114,CP051
CP05120,CP051
CP07492,CP051
CP13220,CP051
CP05211,CP052
CP05212,CP052
CP05213,CP052
CP05219,CP052
CP05220,CP052
CP05311,CP053
CP05312,CP053
CP05313,CP053
CP05314,CP053
CP05319,CP053
CP05321,CP053
CP05322,CP053
CP05329,CP053
CP05330,CP053
CP07492,CP053
CP05321,CP054
CP05322,CP054
CP05401,CP054
CP05402,CP054
CP05403,CP054
CP05404,CP054
CP13220,CP054
CP04311,CP055
CP04312,CP055
CP05510,CP055
CP05521,CP055
CP05522,CP055
CP05530,CP055
CP05530,CP055
CP01300,CP056
CP02200,CP056
CP04312,CP056
CP05120,CP056
CP05220,CP056
CP05611,CP056
CP05619,CP056
CP05621,CP056
CP05629,CP056
CP10501,CP056
CP06111,CP061
CP06112,CP061
CP06121,CP061
CP06121,CP061
CP06122,CP061
CP06123,CP061
CP06131,CP061
CP06132,CP061
CP06133,CP061
CP06140,CP061
CP06229,CP061
CP06211,CP062
CP06219,CP062
CP06219,CP062
CP06221,CP062
CP06229,CP062
CP06231,CP062
CP06231,CP062
CP06232,CP062
CP06232,CP062
CP06410,CP062
CP06420,CP062
CP06211,CP063
CP06219,CP063
CP06310,CP063
CP06320,CP063
CP06410,CP063
CP06420,CP063
CP07111,CP071
CP07112,CP071
CP07120,CP071
CP07130,CP071
CP07130,CP071
CP07140,CP071
CP07211,CP072
CP07212,CP072
CP07213,CP072
CP07221,CP072
CP07222,CP072
CP07223,CP072
CP07224,CP072
CP07230,CP072
CP07241,CP072
CP07242,CP072
CP07243,CP072
CP07244,CP072
CP06420,CP073
CP06420,CP073
CP06420,CP073
CP07311,CP073
CP07312,CP073
CP07321,CP073
CP07322,CP073
CP07323,CP073
CP07329,CP073
CP07331,CP073
CP07332,CP073
CP07340,CP073
CP07350,CP073
CP07360,CP073
CP07491,CP073
CP11209,CP073
CP07411,CP081
CP07412,CP081
CP07492,CP081
CP08110,CP082
CP08120,CP082
CP08350,CP082
CP08310,CP083
CP08320,CP083
CP08330,CP083
CP08340,CP083
CP08350,CP083
CP08399,CP083
CP08131,CP091
CP08132,CP091
CP08140,CP091
CP08150,CP091
CP08191,CP091
CP08191,CP091
CP08191,CP091
CP08192,CP091
CP08200,CP091
CP08350,CP091
CP08399,CP091
CP09111,CP091
CP09112,CP091
CP09112,CP091
CP09113,CP091
CP09410,CP091
CP09520,CP091
CP09711,CP091
CP09719,CP091
CP09121,CP092
CP09122,CP092
CP09123,CP092
CP09124,CP092
CP09129,CP092
CP09129,CP092
CP09421,CP092
CP09422,CP092
CP09450,CP092
CP09510,CP092
CP09690,CP092
CP07492,CP093
CP09211,CP093
CP09212,CP093
CP09213,CP093
CP09213,CP093
CP09221,CP093
CP09222,CP093
CP09311,CP093
CP09312,CP093
CP09321,CP093
CP09322,CP093
CP09432,CP093
CP09440,CP093
CP09450,CP093
CP08391,CP094
CP08392,CP094
CP08399,CP094
CP09422,CP094
CP09431,CP094
CP09432,CP094
CP09440,CP094
CP09461,CP094
CP09462,CP094
CP09463,CP094
CP09470,CP094
CP09610,CP094
CP09620,CP094
CP09630,CP094
CP09690,CP094
CP09690,CP094
CP08132,CP095
CP09690,CP095
CP09711,CP095
CP09719,CP095
CP09721,CP095
CP09722,CP095
CP09730,CP095
CP09740,CP095
CP09800,CP096
CP10101,CP101
CP10102,CP101
CP10200,CP102
CP10300,CP103
CP10400,CP104
CP10501,CP105
CP10509,CP105
CP07492,CP111
CP11111,CP111
CP11112,CP111
CP11121,CP111
CP11129,CP111
CP11201,CP112
CP11202,CP112
CP11203,CP112
CP11209,CP112
CP06111,CP121
CP06121,CP121
CP13111,CP121
CP13112,CP121
CP13120,CP121
CP13131,CP121
CP13132,CP121
CP13901,CP122
CP05114,CP123
CP06131,CP123
CP07213,CP123
CP09221,CP123
CP13211,CP123
CP13212,CP123
CP13220,CP123
CP13291,CP123
CP13292,CP123
CP13301,CP124
CP13302,CP124
CP13303,CP124
CP13309,CP124
CP12110,CP125
CP12110,CP125
CP12120,CP125
CP12130,CP125
CP12141,CP125
CP12142,CP125
CP12190,CP125
CP12210,CP126
CP12220,CP126
CP12291,CP126
CP12299,CP126
CP01300,CP127
CP02200,CP127
CP08330,CP127
CP13902,CP127
CP13909,CP127
CP14100,CP131
CP14210,CP132
CP14220,CP132
CP14230,CP132
CP14240,CP132
CP14250,CP132
CP14260,CP132
CP14270,CP132
CP14280,CP132
CP14310,CP133
CP14320,CP133
CP14410,CP134
CP14420,CP134
CP14430,CP134
CP14440,CP134
CP14450,CP134
CP14460,CP134
CP14500,CP135
CP14610,CP136
CP14620,CP136
CP14630,CP136
CP14640,CP136
CP15100,CP141
CP15210,CP142
CP15220,CP142
CP15230,CP142
CP15240,CP142
CP15250,CP142
CP15260,CP142
CP15270,CP142
CP15280,CP142
CP15310,CP143
CP15320,CP143
CP15410,CP144
CP15420,CP144
CP15430,CP144
CP15440,CP144
CP15450,CP144
CP15460,CP144
CP15500,CP145
