poste,periode,periode_type,motorisation,valeur,unite,evolution_pct,qualite,source_nom,source_url,date_consultation,notes
CP071,2025,annuel,essence,25657,EUR,-4.6,synthese_presse,AAA Data - Communique de presse du 1er janvier 2026,https://www.aaa-data.fr/actualites/communique-de-presse-1er-janv-2026/,2026-08-24,"Prix moyen annuel 2025 vs 2024, hors options/remises/bonus-malus (mention* de la source). Diverge du meme indicateur publie par Intelligence Auto n88 (25884 EUR, -3.6%) -- voir docs/SOURCES.md."
CP071,2025,annuel,electrique,42992,EUR,-0.1,synthese_presse,AAA Data - Communique de presse du 1er janvier 2026,https://www.aaa-data.fr/actualites/communique-de-presse-1er-janv-2026/,2026-08-24,"Prix moyen annuel 2025 vs 2024. Diverge du meme indicateur publie par Intelligence Auto n88 (42788 EUR, -0.8%) -- voir docs/SOURCES.md."
CP071,2025,annuel,essence,25884,EUR,-3.6,synthese_presse,AAA Data - Intelligence Auto n88 (19/01/2026),https://www.aaa-data.fr/actualites/intelligence-auto-n88-marche-des-voitures-neuves-atone-en-2026-reprise-dynamique-attendue-des-2027/,2026-08-24,"Prix moyen annuel 2025 vs 2024. Diverge du communique du 1er janvier 2026 (25657 EUR, -4.6%) -- voir docs/SOURCES.md."
CP071,2025,annuel,electrique,42788,EUR,-0.8,synthese_presse,AAA Data - Intelligence Auto n88 (19/01/2026),https://www.aaa-data.fr/actualites/intelligence-auto-n88-marche-des-voitures-neuves-atone-en-2026-reprise-dynamique-attendue-des-2027/,2026-08-24,"Prix moyen annuel 2025 vs 2024. Diverge du communique du 1er janvier 2026 (42992 EUR, -0.1%) -- voir docs/SOURCES.md."
CP071,2025-01/2025-05,cumul_ytd,globale,35043,EUR,,synthese_presse,AAA Data - Intelligence Auto n93 (17/06/2026),https://www.aaa-data.fr/actualites/intelligence-auto-n93-juin/,2026-08-24,"Point de comparaison cite dans le meme article que la ligne 2026 (cumul janvier-mai 2025, toutes motorisations) -- ancre t1 du raccord ADR 0021/0025."
CP071,2026-01/2026-05,cumul_ytd,globale,36319,EUR,3.6,synthese_presse,AAA Data - Intelligence Auto n93 (17/06/2026),https://www.aaa-data.fr/actualites/intelligence-auto-n93-juin/,2026-08-24,"Prix moyen cumule janvier-mai 2026 toutes motorisations, vs meme periode 2025 (35043 EUR) -- ancre t2 du raccord ADR 0021/0025."
CP071,2026-01/2026-05,cumul_ytd,electrique,42541,EUR,-0.8,synthese_presse,AAA Data - Intelligence Auto n93 (17/06/2026),https://www.aaa-data.fr/actualites/intelligence-auto-n93-juin/,2026-08-24,"Prix moyen cumule janvier-mai 2026."
CP071,2026-01/2026-05,cumul_ytd,hybride,36757,EUR,-1.8,synthese_presse,AAA Data - Intelligence Auto n93 (17/06/2026),https://www.aaa-data.fr/actualites/intelligence-auto-n93-juin/,2026-08-24,"Prix moyen cumule janvier-mai 2026."
CP071,2026-01/2026-05,cumul_ytd,essence,25202,EUR,-0.7,synthese_presse,AAA Data - Intelligence Auto n93 (17/06/2026),https://www.aaa-data.fr/actualites/intelligence-auto-n93-juin/,2026-08-24,"Prix moyen cumule janvier-mai 2026."
CP071,2026-01/2026-05,cumul_ytd,diesel,45463,EUR,13.3,synthese_presse,AAA Data - Intelligence Auto n93 (17/06/2026),https://www.aaa-data.fr/actualites/intelligence-auto-n93-juin/,2026-08-24,"Prix moyen cumule janvier-mai 2026, plus eleve de toutes les motorisations."
